index,PUMPE_TOT,HAUSHALT_TOT,TEMPERATURE:TOTAL
2019-01-01 00:00:00,2969.689006805415,125.7294437832302,8.8000001907349
2019-01-01 00:30:00,2863.968880038793,139.9871114942765,7.8000001907349
2019-01-01 00:45:00,129.19322416517417,131.89333351982953,7.6999998092651
2019-01-01 01:00:00,2382.8476754930334,79.29188902113178,7.6999998092651
2019-01-01 01:15:00,1939.8827859666612,120.93588867187536,7.6999998092651
2019-01-01 01:30:00,69.4599998050265,124.87888938056076,7.8000001907349
2019-01-01 01:45:00,63.11866654290093,120.50800026787677,7.6999998092651
2019-01-01 02:00:00,4458.052879036798,127.55844429863818,7.6999998092651
2019-01-01 02:15:00,63.60622211032447,122.79433356391067,6.8000001907349
2019-01-01 02:30:00,1860.9832153320274,97.72888904147723,6.8000001907349
2019-01-01 02:45:00,1282.0618942684587,124.28977771335207,6.8000001907349
2019-01-01 03:00:00,1340.1737765842004,124.09333326551663,6.8000001907349
2019-01-01 03:30:00,256.3836713578972,107.71699956258148,7.1999998092651
2019-01-01 03:45:00,2490.5108792622896,113.5794442918561,7.3000001907349
2019-01-01 04:00:00,1547.887111155192,136.89288914998343,7.3000001907349
2019-01-01 04:30:00,1913.3159039815266,118.37344402737071,7.1999998092651
2019-01-01 04:45:00,1415.59188859728,109.6347780863444,7.1999998092651
2019-01-01 05:15:00,2310.142898008558,114.29622200859903,7.1999998092651
2019-01-01 05:30:00,1726.7911226484516,127.46333380805116,7.1999998092651
2019-01-01 05:45:00,5816.779763454862,121.0667775472005,7.0999999046326
2019-01-01 06:00:00,2045.4884387758043,121.85999993218343,7.0999999046326
2019-01-01 06:15:00,63.17133318583168,112.86611133151563,6.9000000953674
2019-01-01 06:45:00,1478.9417692396369,97.36522242228178,6.8000001907349
2019-01-01 07:00:00,1150.9755607181137,125.83955578274171,6.8000001907349
2019-01-01 07:15:00,2583.846003087362,122.1823332892527,6.6999998092651
2019-01-01 07:45:00,2121.556566577484,122.21822191874182,6.6999998092651
2019-01-01 08:00:00,1361.2041182200142,125.26077813042527,6.6999998092651
2019-01-01 08:15:00,2368.4941189660008,102.94955554538325,6.9000000953674
2019-01-01 09:00:00,62.037000105116086,118.74422251383456,6.9000000953674
2019-01-01 09:15:00,4276.986337746514,121.04677742852088,6.9000000953674
2019-01-01 09:30:00,63.097555669148726,124.48811102973092,7.0
2019-01-01 09:45:00,2555.907012812298,85.23722220526784,7.0
2019-01-01 10:00:00,63.34799986945257,124.66844482421882,7.0
2019-01-01 10:30:00,2543.1098895178866,114.92077789306653,7.3000001907349
2019-01-01 10:45:00,700.0876672956673,100.4215554979111,7.4000000953674
2019-01-01 11:15:00,2734.2150018903967,125.89766693115173,7.5
2019-01-01 11:30:00,1524.9795638190344,118.49555562337244,7.5
2019-01-01 11:45:00,63.68044446309408,142.85922198825415,7.5
2019-01-01 12:00:00,2414.263552941217,144.57133305867526,7.5
2019-01-01 12:15:00,63.49933306376139,202.8957782321508,7.5
2019-01-01 12:30:00,2758.1834281497504,2049.2876678466755,7.3000001907349
2019-01-01 12:45:00,2523.057767359416,743.2307800292973,7.1999998092651
2019-01-01 13:00:00,1018.58233104282,310.72555575900606,7.1999998092651
2019-01-01 13:30:00,3465.726124148897,359.31499972873274,6.8000001907349
2019-01-01 13:45:00,5696.9485731336745,320.0241105821397,6.6999998092651
2019-01-01 14:00:00,564.2482233471341,351.8661114162868,6.6999998092651
2019-01-01 14:15:00,63.58055547078448,390.0531103346079,7.1999998092651
2019-01-01 15:15:00,1637.4487904866544,91.43744481404616,6.3000001907349
2019-01-01 15:45:00,1337.1642257690432,143.44000049167218,6.1999998092651
2019-01-01 16:00:00,2271.9149932861324,145.34900021023208,6.1999998092651
2019-01-01 16:15:00,3933.428650919599,193.03577745225675,6.1999998092651
2019-01-01 16:30:00,903.4562204996745,143.01577784220416,5.9000000953674
2019-01-01 16:45:00,3289.362099456795,269.60700022379564,5.6999998092651
2019-01-01 17:00:00,3687.445328606501,503.1323323567725,5.6999998092651
2019-01-01 17:15:00,64.24033321804471,472.67466803656635,5.5
2019-01-01 17:30:00,3412.802664905125,2286.3056644015846,5.1999998092651
2019-01-01 17:45:00,64.40522176954481,791.6315504286032,5.1999998092651
2019-01-01 18:15:00,1184.753444035849,473.60077514648367,5.0999999046326
2019-01-01 18:30:00,62.76077770657012,2077.121560329862,5.1999998092651
2019-01-01 18:45:00,2607.613329611884,426.7360022650823,5.1999998092651
2019-01-01 19:00:00,63.33755560980903,452.8089987860797,5.1999998092651
2019-01-01 19:15:00,1519.1875631544358,1409.2928949991856,4.4000000953674
2019-01-01 19:30:00,1523.76999681261,2146.5887756347693,4.0999999046326
2019-01-01 19:45:00,64.03566635979554,132.62166714138476,4.0
2019-01-01 20:00:00,2934.0517884996243,176.3963342454694,4.0
2019-01-01 20:15:00,2740.4894322289324,181.64144524468352,4.5999999046326
2019-01-01 20:30:00,316.24222361246746,196.377667066786,4.6999998092651
2019-01-01 20:45:00,62.76933339436849,211.5782228257921,4.6999998092651
2019-01-01 21:45:00,4604.000330056085,288.37733527289754,4.0
2019-01-01 22:00:00,64.52566676669646,194.04222208658845,4.0
2019-01-01 22:30:00,513.2191080305334,201.8301107618543,3.2999999523163
2019-01-01 22:45:00,5663.592679256858,151.59422200520828,3.4000000953674
2019-01-01 23:00:00,3224.2299991395726,148.65966695149734,3.4000000953674
2019-01-01 23:30:00,4029.842234547929,96.12066680060485,3.7999999523163
2019-01-02 00:00:00,2681.460554419628,88.91577784220382,3.7999999523163
